alg,threads,read_ratio,record_size,req_per_query,total_count,zipf_theta,tput_1,tput_2,tput_3
Hekaton,16,1.0,8.0,10.0,512000.0,0.8,2992074.0,2560590.0,2601894.0
2PL,16,0.6,1000.0,10.0,32768000.0,0.0,1401238.0,1406274.0,1383751.0
TicToc,28,0.2,128.0,1.0,128000.0,0.0,41407673.0,40179553.0,41006764.0
FOEDUS,28,0.0,100.0,1.0,2048000.0,0.0,23986697.29747579,25445328.56037335,23415838.21100896
2PL,16,0.0,1000.0,10.0,8192000.0,0.99,299255.0,298301.0,298632.0
2PL,28,1.0,1000.0,1.0,2048000.0,0.99,10156912.0,9900911.0,10014130.0
Cicada,4,0.6,1000.0,100.0,2048000.0,0.0,64009.0,64170.0,64407.0
2PL,4,0.2,128.0,1.0,32768000.0,0.4,3685166.0,3586478.0,3676458.0
Cicada,4,0.2,1000.0,1.0,128000.0,0.0,4092695.0,3955844.0,3950073.0
2PL,16,0.0,8.0,1.0,128000.0,0.0,19984249.0,20255950.0,20005790.0
TicToc,16,0.2,128.0,100.0,2048000.0,0.4,198426.0,198422.0,198396.0
2PL,1,0.0,32.0,1.0,128000.0,0.0,1352605.0,1398285.0,1399485.0
Cicada,28,0.2,8.0,10.0,2048000.0,0.0,5778339.0,5834319.0,5801762.0
FOEDUS,28,0.2,100.0,10.0,2048000.0,0.0,3052184.180119137,3009652.323149664,3069598.674417951
FOEDUS,16,1.0,100.0,100.0,2048000.0,0.0,281033.6067494727,280516.19225384976,291725.4599086231
TicToc,1,0.0,8.0,10.0,32768000.0,0.0,211049.0,209014.0,204166.0
Hekaton,28,0.6,32.0,10.0,2048000.0,0.99,318222.0,53207.0,37441.0
TicToc,16,0.0,8.0,100.0,8192000.0,0.4,209171.0,208916.0,208895.0
TicToc,1,1.0,32.0,1.0,8192000.0,0.99,2018618.0,1955468.0,1992776.0
ERMIA,28,0.2,100.0,100.0,8192000.0,0.0,194323.0,193480.0,186693.0
Hekaton,28,0.6,1000.0,1.0,512000.0,0.4,4100019.0,3560450.0,4128713.0
Cicada,16,1.0,1000.0,10.0,512000.0,0.8,3528044.0,3593067.0,3563688.0
Cicada,16,0.2,128.0,1.0,128000.0,0.8,21639561.0,21249976.0,21402733.0
Cicada,4,0.0,1000.0,100.0,128000.0,0.8,36197.0,32438.0,32760.0
Hekaton,28,0.6,8.0,1.0,32768000.0,0.8,3570613.0,3136660.0,3547884.0
Silo,1,0.0,8.0,100.0,2048000.0,0.0,17009.0,17010.0,16997.0
2PL,28,0.2,1000.0,1.0,2048000.0,0.8,21351046.0,20774211.0,20788030.0
TicToc,28,0.6,32.0,100.0,2048000.0,0.4,469647.0,471131.0,468631.0
2PL,28,0.0,1000.0,1.0,2048000.0,0.0,18643705.0,18896007.0,18089501.0
Silo,28,0.6,32.0,10.0,8192000.0,0.4,4634023.0,4339785.0,4611385.0
ERMIA,2,1.0,100.0,100.0,2048000.0,0.99,46033.3,46388.4,45993.9
TicToc,4,0.2,1000.0,10.0,32768000.0,0.8,452604.0,460099.0,456195.0
Hekaton,4,0.6,128.0,10.0,512000.0,0.4,521884.0,523144.0,513659.0
FOEDUS,16,0.0,100.0,10.0,128000.0,0.4,1869047.204968944,1316467.3157162727,1394460.0342778997
TicToc,1,0.6,32.0,1.0,128000.0,0.8,2118362.0,2198957.0,2118428.0
2PL,4,1.0,8.0,1.0,128000.0,0.4,5683143.0,5389203.0,5404482.0
2PL,16,0.0,32.0,1.0,512000.0,0.99,9309143.0,9849030.0,9198863.0
TicToc,16,0.6,1000.0,10.0,32768000.0,0.4,1554496.0,1566436.0,1579793.0
TicToc,4,0.2,128.0,100.0,128000.0,0.8,34790.0,31816.0,33587.0
Hekaton,1,0.6,1000.0,1.0,32768000.0,0.4,818955.0,974633.0,968482.0
ERMIA,16,0.0,100.0,1.0,512000.0,0.4,5029570.0,2348640.0,3400570.0
Hekaton,4,1.0,1000.0,100.0,32768000.0,0.8,49292.0,49223.0,49274.0
Silo,28,0.2,8.0,10.0,32768000.0,0.4,4694769.0,3270257.0,3281834.0
TicToc,4,0.2,32.0,10.0,8192000.0,0.0,595739.0,649745.0,640896.0
2PL,4,0.0,8.0,1.0,8192000.0,0.99,5646550.0,5524750.0,5368637.0
Hekaton,28,0.0,1000.0,100.0,128000.0,0.8,8013.0,8069.0,8060.0
2PL,16,0.0,32.0,1.0,128000.0,0.0,19040702.0,15684987.0,16527362.0
Hekaton,16,0.6,1000.0,100.0,8192000.0,0.4,117051.0,117240.0,117372.0
TicToc,16,1.0,32.0,100.0,2048000.0,0.4,325705.0,319363.0,324796.0
