alg,nnodes,WH,dist,tput_1,tput_2,tput_3
Calvin,2,16,60,33047.09456254273,32502.63117634997,30809.398492822962
Calvin,2,16,70,31916.125152084758,31650.004000341767,32037.365114859527
Calvin,2,16,80,11.236828947368421,31010.553581304266,29514.66092105263
Calvin,2,16,90,29305.0327734108,31006.358894395074,29879.59432894737
Calvin,2,16,100,30034.130131578946,27960.522628673956,29688.809351059466
Calvin,2,32,0,39942.200000000004,39950.404803256446,39911.84694029851
Calvin,2,32,10,38866.60393939394,39646.94107869742,39633.73279568764
Calvin,2,32,20,39505.96787878788,39389.3461295443,38130.48982926278
Calvin,2,32,30,37389.63575757576,37086.92061601085,36808.35881355932
Calvin,2,32,40,38506.96362121212,36903.819253731344,36753.79305585708
Calvin,2,32,50,36222.02103030303,34209.387475524476,36279.07318262778
Calvin,2,32,60,33382.51651515151,32612.933258706464,32244.352424242425
Calvin,2,32,70,31410.548030303027,30792.201430800545,32343.26413636364
Calvin,2,32,80,31370.50969335143,31511.947064676617,31529.288855572137
Calvin,2,32,90,28212.273744522143,29117.807057304388,29969.830375848032
Calvin,2,32,100,28753.527845024877,28854.028,28647.723263125
Calvin,2,64,0,39920.80239130434,40083.922173913044,39741.381130434784
Calvin,2,64,10,0.0,39707.82699494949,39890.59065217391
Calvin,2,64,20,39779.09,39778.00956521739,39746.32760869565
Calvin,2,64,30,39974.949782608695,38682.06717391305,39757.89272727272
Calvin,2,64,40,39622.507608695654,20189.14090111111,37074.925684551345
Calvin,2,64,50,33847.24173311185,34676.49254373522,37556.23086956522
Calvin,2,64,60,34166.163260869565,35502.97021521739,35740.2955705314
Calvin,2,64,70,34776.05543478261,34069.80113285025,32762.934782608696
Calvin,2,64,80,33029.90804347826,31076.670545790934,32037.26948658649
Calvin,2,64,90,18158.340818181816,32038.155869565217,32292.74893154487
Calvin,2,64,100,30875.483913043478,28972.07118695652,29442.158456521738
Calvin,2,128,0,38748.04,39603.937999999995,40673.85666666667
Calvin,2,128,10,40346.520000000004,14088.5,41692.42
Calvin,2,128,20,39047.520000000004,41056.763333333336,40520.333
Calvin,2,128,30,39487.89,41788.755000000005,42481.25
Calvin,2,128,40,0.0,40240.11641666667,0.0
Calvin,2,128,50,0.0,41526.74,0.0
Calvin,2,128,60,40521.3,42635.46666666667,39815.0975
Calvin,2,128,70,38022.668333333335,41179.7,38854.88333333333
Calvin,2,128,80,39432.64,40150.4,36335.78333333333
Calvin,2,128,90,35153.415,0.0,33074.075000000004
Calvin,2,128,100,0.0,34275.51666666666,33894.38333333333
Calvin,4,1,0,0.0,50678.24057920656,50602.787786593704
Calvin,4,1,10,0.0,23343.11446374829,45788.588166347465
Calvin,4,1,20,98.9999,43230.36104445964,18815.690356589148
Calvin,4,1,30,13074.316692954859,17638.076870497036,41716.08818871409
Calvin,4,1,40,11745.963587355873,17956.880222070224,22844.489180509416
Calvin,4,1,50,29767.652175968993,17886.41344252166,28193.58523255814
Calvin,4,1,60,19293.40811985294,20873.159302335353,22023.284845817863
Calvin,4,1,70,36944.50325232558,18282.499163655462,37146.714916105135
Calvin,4,1,80,19971.361277906977,18509.056693775652,16890.821837961696
Calvin,4,1,90,17556.953539192888,13832.65351764706,24100.76780980392
Calvin,4,1,100,18343.014649264704,26244.906859302326,17033.821393023256
Calvin,4,2,0,64019.407218487395,64101.472227731094,64136.093087398374
Calvin,4,2,10,33861.42207936508,41165.37163529411,59728.08673711485
Calvin,4,2,20,26302.570487394958,57418.092977030814,58012.83808929972
Calvin,4,2,30,28249.278313725492,53770.29548095238,31956.09835294118
Calvin,4,2,40,50065.29166722689,50874.654117507,51832.73538259309
Calvin,4,2,50,47715.32628733893,48695.443825070026,26692.52473529412
Calvin,4,2,60,46386.311508011204,20381.984116465865,24724.091100490194
Calvin,4,2,70,45542.332648459385,27438.108712655972,34910.32420588235
Calvin,4,2,80,33711.33926431373,20850.312068051026,21215.548865546218
Calvin,4,2,90,26120.21020470588,20021.603840336134,41594.61958803921
Calvin,4,2,100,21740.673794551818,21875.453901568624,40166.329264005595
Calvin,4,4,0,72174.28942627655,72609.58327845669,72946.774786288
Calvin,4,4,10,66038.35452132927,66245.39908376362,27349.627229298145
Calvin,4,4,20,63501.592991967875,63565.64472590362,19.30487792682927
Calvin,4,4,30,44523.715718797706,59806.87116149125,61199.59107286288
Calvin,4,4,40,29122.26530052265,57921.299046428576,57642.781536882714
Calvin,4,4,50,31039.640236904765,42295.63416465863,54421.81851276534
