keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
0.128,1.0,1,5,15,20975.584175861055,20640.480515191546,22019.906194261555
0.128,1.0,1,5,20,25728.76733475699,25983.474510211505,25283.81077596015
0.128,1.0,1,5,25,28301.352804664064,26290.882322010726,27023.375219564925
0.128,1.0,1,5,5,10335.917312661499,11007.639301675363,12020.675561966582
0.128,1.0,1,7,10,13815.589511204444,16290.359365327598,15915.45709192768
0.128,1.0,1,7,15,19475.519027772367,23469.536237326323,17980.25747986191
0.128,1.0,1,7,20,24968.789013732832,23469.770935035674,22861.32321338759
0.128,1.0,1,7,25,28320.58906825262,27030.679821597514,20787.42776368852
0.128,1.0,1,7,5,10558.881603260583,11453.179402602162,11473.67937950342
0.128,1.0,2,3,10,26044.379622877383,24237.723593000144,25545.39416543197
0.128,1.0,2,3,15,33018.22624314865,37240.801430061074,37637.472242086646
0.128,1.0,2,3,20,37606.70903689218,42240.43254202923,41725.77818576316
0.128,1.0,2,3,25,43114.598603087004,41654.517432415545,46345.6458265746
0.128,1.0,2,3,5,13197.661374404455,11665.888940737284,11980.782824349742
0.128,1.0,2,5,10,20556.67475229207,17328.319672841324,20079.91807393426
0.128,1.0,2,5,15,29776.672721317333,31113.565650280027,30344.10559854347
0.128,1.0,2,5,20,33608.9265308866,38086.53260207191,37300.90641202581
0.128,1.0,2,5,25,37663.364845015254,43734.96610540127,43746.445601294894
