partition_num,threads,zipf,rw,servers,cross,tput
32,2,0.8,60,8,40,
32,2,0.8,60,8,60,
32,2,0.8,60,8,80,
32,2,0.8,60,8,100,
32,2,0.8,100,2,0,845024.0
32,2,0.8,100,2,20,574807.6666666666
32,2,0.8,100,2,40,450244.6666666667
32,2,0.8,100,2,60,373691.3333333333
32,2,0.8,100,2,80,324132.0
32,2,0.8,100,2,100,285660.0
32,2,0.8,100,4,0,1616450.0
32,2,0.8,100,4,20,800206.0
32,2,0.8,100,4,40,548629.3333333334
32,2,0.8,100,4,60,417650.6666666667
32,2,0.8,100,4,80,336709.6666666667
32,2,0.8,100,4,100,282482.0
32,2,0.8,100,8,0,
32,2,0.8,100,8,20,
32,2,0.8,100,8,40,
32,2,0.8,100,8,60,
32,2,0.8,100,8,80,
32,2,0.8,100,8,100,
32,2,0.99,0,2,0,92809.09999999999
32,2,0.99,0,2,20,72704.43333333333
32,2,0.99,0,2,40,73616.83333333333
32,2,0.99,0,2,60,59746.13333333333
32,2,0.99,0,2,80,54431.63333333334
32,2,0.99,0,2,100,51334.6
32,2,0.99,0,4,0,117178.0
32,2,0.99,0,4,20,111083.66666666667
32,2,0.99,0,4,40,87484.90000000001
32,2,0.99,0,4,60,79692.73333333332
32,2,0.99,0,4,80,67957.56666666667
32,2,0.99,0,4,100,57747.200000000004
32,2,0.99,0,8,0,137988.0
32,2,0.99,0,8,20,
32,2,0.99,0,8,40,
32,2,0.99,0,8,60,
32,2,0.99,0,8,80,
32,2,0.99,0,8,100,
32,2,0.99,20,2,0,113036.66666666667
32,2,0.99,20,2,20,88308.03333333333
32,2,0.99,20,2,40,86738.09999999999
32,2,0.99,20,2,60,84272.36666666665
32,2,0.99,20,2,80,75098.59999999999
32,2,0.99,20,2,100,64033.700000000004
32,2,0.99,20,4,0,142313.66666666666
32,2,0.99,20,4,20,135035.66666666666
32,2,0.99,20,4,40,115245.0
32,2,0.99,20,4,60,93323.40000000001
32,2,0.99,20,4,80,79857.23333333332
32,2,0.99,20,4,100,69371.33333333333
32,2,0.99,20,8,0,
32,2,0.99,20,8,20,
32,2,0.99,20,8,40,
32,2,0.99,20,8,60,
32,2,0.99,20,8,80,
32,2,0.99,20,8,100,64592.5
32,2,0.99,60,2,0,195790.33333333334
32,2,0.99,60,2,20,163388.0
32,2,0.99,60,2,40,146360.0
32,2,0.99,60,2,60,139446.33333333334
32,2,0.99,60,2,80,127050.33333333333
32,2,0.99,60,2,100,108679.66666666667
32,2,0.99,60,4,0,257294.66666666666
32,2,0.99,60,4,20,243110.0
32,2,0.99,60,4,40,187187.66666666666
32,2,0.99,60,4,60,156635.0
32,2,0.99,60,4,80,131697.66666666666
32,2,0.99,60,4,100,114496.66666666667
32,2,0.99,60,8,0,
32,2,0.99,60,8,20,
32,2,0.99,60,8,40,
32,2,0.99,60,8,60,
32,2,0.99,60,8,80,129117.0
32,2,0.99,60,8,100,
32,2,0.99,100,2,0,985847.6666666666
32,2,0.99,100,2,20,684056.0
32,2,0.99,100,2,40,537040.0
32,2,0.99,100,2,60,434609.0
32,2,0.99,100,2,80,386752.0
32,2,0.99,100,2,100,339432.6666666667
32,2,0.99,100,4,0,1890576.6666666667
32,2,0.99,100,4,20,967305.6666666666
32,2,0.99,100,4,40,659206.3333333334
32,2,0.99,100,4,60,499280.3333333333
32,2,0.99,100,4,80,410281.6666666667
32,2,0.99,100,4,100,346505.6666666667
32,2,0.99,100,8,0,
32,2,0.99,100,8,20,
32,2,0.99,100,8,40,
32,2,0.99,100,8,60,
32,2,0.99,100,8,80,
32,2,0.99,100,8,100,
32,8,0.0,0,2,0,315135.6666666667
32,8,0.0,0,2,20,248424.33333333334
32,8,0.0,0,2,40,235284.0
32,8,0.0,0,2,60,200587.0
32,8,0.0,0,2,80,171957.0
