num_keys,value_size,put_percent,zipf,tput
2048,128,100,0.4,18106056.21363533
2048,128,100,0.8,18519791.888190333
2048,128,100,0.99,18523339.093611334
2048,512,0,0.0,6513472.798428666
2048,512,0,0.4,6226613.905500334
2048,512,0,0.8,6214712.684283334
2048,512,0,0.99,6215601.704429333
2048,512,20,0.0,7373199.461240667
2048,512,20,0.4,6972916.858695666
2048,512,20,0.8,6967860.050814667
2048,512,20,0.99,6971787.159594
2048,512,40,0.0,8689462.454461
2048,512,40,0.4,7985468.016720333
2048,512,40,0.8,7983540.062048666
2048,512,40,0.99,8029682.6451940015
2048,512,60,0.0,10384485.097930668
2048,512,60,0.4,9226768.973062
2048,512,60,0.8,9211310.466575334
2048,512,60,0.99,9209770.084590333
2048,512,80,0.0,10108426.159666335
2048,512,80,0.4,9801455.312808668
2048,512,80,0.8,9792193.767250333
2048,512,80,0.99,9810877.891743334
2048,512,100,0.0,9300075.834618
2048,512,100,0.4,9167527.271472001
2048,512,100,0.8,9165288.817587001
2048,512,100,0.99,9167191.401076334
2048,1024,0,0.0,4304709.157359335
2048,1024,0,0.4,4149750.9770386666
2048,1024,0,0.8,4147616.8626983333
2048,1024,0,0.99,4148617.117154
2048,1024,20,0.0,4971404.3142926665
2048,1024,20,0.4,4782197.759485667
2048,1024,20,0.8,4778132.83931
2048,1024,20,0.99,4781203.290192666
2048,1024,40,0.0,5915939.978163667
2048,1024,40,0.4,5638560.705873
2048,1024,40,0.8,5638094.008861001
2048,1024,40,0.99,5639923.911464666
2048,1024,60,0.0,7561934.008928333
2048,1024,60,0.4,7038132.4407130005
2048,1024,60,0.8,6947075.085852333
2048,1024,60,0.99,6949661.758066334
2048,1024,80,0.0,7133923.316909666
2048,1024,80,0.4,7138364.311946333
2048,1024,80,0.8,7136244.7438906655
2048,1024,80,0.99,7135484.2246223325
2048,1024,100,0.0,5934891.525191666
2048,1024,100,0.4,5935275.302995667
2048,1024,100,0.8,5935225.9234173335
2048,1024,100,0.99,5937224.314769999
8192,8,0,0.0,23170661.328499
8192,8,0,0.4,23294141.638307333
8192,8,0,0.8,23260972.96186
8192,8,0,0.99,23102946.352157667
8192,8,20,0.0,22507117.66955
8192,8,20,0.4,23142594.084723335
8192,8,20,0.8,23172839.978690665
8192,8,20,0.99,23153186.679887336
8192,8,40,0.0,23144262.640766665
8192,8,40,0.4,23058764.760023665
8192,8,40,0.8,23127203.42303033
8192,8,40,0.99,23138179.789642334
8192,8,60,0.0,22409753.819538664
8192,8,60,0.4,23073169.812067002
8192,8,60,0.8,23018186.321670666
8192,8,60,0.99,23017512.278396666
8192,8,80,0.0,23060130.793894336
8192,8,80,0.4,23061908.765637998
8192,8,80,0.8,23129743.201812
8192,8,80,0.99,23072882.80194967
8192,8,100,0.0,23137189.128385667
8192,8,100,0.4,23054244.545818668
8192,8,100,0.8,23072697.794565335
8192,8,100,0.99,23093234.048007667
8192,32,0,0.0,22262307.208171
8192,32,0,0.4,21566448.46454667
8192,32,0,0.8,22235638.50111967
8192,32,0,0.99,22215219.488065336
8192,32,20,0.0,22152548.937348004
8192,32,20,0.4,22152924.011759333
8192,32,20,0.8,22984194.516380668
8192,32,20,0.99,21311631.01853
8192,32,40,0.0,22054369.219767
8192,32,40,0.4,22106389.498693
8192,32,40,0.8,22021325.550561998
8192,32,40,0.99,22040474.38111333
8192,32,60,0.0,21217954.444486335
8192,32,60,0.4,22012642.744290996
8192,32,60,0.8,22019739.127174336
8192,32,60,0.99,21982165.911356
8192,32,80,0.0,21389643.676988002
8192,32,80,0.4,21959699.414995
8192,32,80,0.8,22037898.546187665
8192,32,80,0.99,22030669.13026167
8192,32,100,0.0,22053807.365762666
8192,32,100,0.4,22053427.113804
8192,32,100,0.8,22015630.671832997
8192,32,100,0.99,21857955.301384002
8192,128,0,0.0,18538877.281146
8192,128,0,0.4,18435686.370684
8192,128,0,0.8,18507289.149112333
8192,128,0,0.99,18522560.146887664
8192,128,20,0.0,18574839.93902533
8192,128,20,0.4,18547903.339848
8192,128,20,0.8,18559698.984845
