nnodes,#WH,dist,alg,tp
8,4,80,Calvin,66772.94588293556
8,4,90,2pl,1454.9906408228187
8,4,90,Calvin,13755.986475287515
8,4,100,2pl,1278.5142886371877
8,4,100,Calvin,12854.416050552043
8,8,0,2pl,19008.5244263473
8,8,0,Calvin,152688.2932854622
8,8,10,2pl,835.1029844878954
8,8,10,Calvin,144808.45974169823
8,8,20,2pl,682.1936227341644
8,8,20,Calvin,140195.99955724188
8,8,30,2pl,1161.7491585740056
8,8,30,Calvin,136047.67085975673
8,8,40,2pl,24228.4084342087
8,8,40,Calvin,129536.43590896208
8,8,50,2pl,185155.10590806682
8,8,50,Calvin,112880.15661944715
8,8,60,2pl,1204.145751919191
8,8,60,Calvin,121831.71589568038
8,8,70,2pl,27078.49773735307
8,8,70,Calvin,116677.39398747688
8,8,80,2pl,76488.94788895275
8,8,80,Calvin,109294.38432999118
8,8,90,2pl,860.0211912685523
8,8,90,Calvin,86063.05983267857
8,8,100,2pl,16023.756556281616
8,8,100,Calvin,102881.0075644731
8,16,0,2pl,24113.330509780808
8,16,0,Calvin,154345.3125541981
8,16,10,2pl,35324.13358418967
8,16,10,Calvin,142985.51084150872
8,16,20,2pl,4168.958564183488
8,16,20,Calvin,145604.19804538923
8,16,30,2pl,3450.4434952123142
8,16,30,Calvin,143960.39894042732
8,16,40,2pl,124892.19434799971
8,16,40,Calvin,140256.3279987114
8,16,50,2pl,54224.148993904026
8,16,50,Calvin,134350.10580573298
8,16,60,2pl,22241.086266697777
8,16,60,Calvin,127277.85561271099
8,16,70,2pl,36528.3953527
8,16,70,Calvin,124368.35189208559
8,16,80,2pl,2146.2718142510134
8,16,80,Calvin,119400.33096233725
8,16,90,2pl,16834.907347724646
8,16,90,Calvin,114969.10699483078
8,16,100,2pl,1768.2703038712673
8,16,100,Calvin,108864.08209659446
8,32,0,2pl,36710.612617205385
8,32,0,Calvin,157976.71158354954
8,32,10,2pl,46912.86607616514
8,32,10,Calvin,152634.01235170674
8,32,20,2pl,9722.700988553077
8,32,20,Calvin,146043.09400838893
8,32,30,2pl,6320.570256768881
8,32,30,Calvin,140600.0406562776
8,32,40,2pl,346461.88050207926
8,32,40,Calvin,132766.89268346262
8,32,50,2pl,89098.66649911297
8,32,50,Calvin,115169.60030807141
8,32,60,2pl,10003.467593913068
8,32,60,Calvin,111656.65046492389
8,32,70,2pl,59816.82593012669
8,32,70,Calvin,109773.42146782052
8,32,80,2pl,84377.64373059504
8,32,80,Calvin,113890.1007614608
8,32,90,2pl,161884.82370267078
8,32,90,Calvin,106146.07089549465
8,32,100,2pl,138351.51976889418
8,32,100,Calvin,110234.99777061369
8,64,0,2pl,37439.262083165726
8,64,0,Calvin,157655.20914592434
8,64,10,2pl,11287.787075458218
8,64,10,Calvin,145302.41638910532
8,64,20,2pl,19688.516259646054
8,64,20,Calvin,157000.6670241798
8,64,30,2pl,16257.566444716946
8,64,30,Calvin,143226.12253245595
8,64,40,2pl,88030.85993648051
8,64,40,Calvin,146421.5062981325
8,64,50,2pl,14763.340143024107
8,64,50,Calvin,140242.37244526585
8,64,60,2pl,7551.704849733032
8,64,60,Calvin,126416.27540931017
8,64,70,2pl,49953.059408672016
8,64,70,Calvin,121943.62987719457
8,64,80,2pl,55875.967776959464
8,64,80,Calvin,117432.59509121456
8,64,90,2pl,71723.20094152312
8,64,90,Calvin,105942.56467772128
8,64,100,2pl,111518.13414945983
8,64,100,Calvin,95197.16425715567
8,128,0,2pl,20356.57495927222
8,128,0,Calvin,-2.0
8,128,10,2pl,3156.7624567666667
8,128,10,Calvin,71612.8139981389
8,128,20,2pl,9195.870070209548
8,128,20,Calvin,-2.0
8,128,30,2pl,1023223.808885715
8,128,30,Calvin,147221.92136666668
8,128,40,2pl,-3.0
8,128,40,Calvin,-2.0
8,128,50,2pl,-2.0
8,128,50,Calvin,224.24999750000003
8,128,60,2pl,-2.0
8,128,60,Calvin,-2.0
8,128,70,2pl,-2.0
8,128,70,Calvin,39830.83036111111
8,128,80,2pl,-2.0
8,128,80,Calvin,131025.5058611111
8,128,90,2pl,6570.28711422645
8,128,90,Calvin,112917.19272222223
8,128,100,2pl,3835.759710521403
8,128,100,Calvin,51701.91166666667
16,1,0,2pl,656.1959321489463
16,1,0,Calvin,201220.87786728394
16,1,10,2pl,59.883292370134505
16,1,10,Calvin,36264.926801513095
16,1,20,2pl,65.61135152353442
16,1,20,Calvin,22036.031459508955
16,1,30,2pl,6469.914954355299
16,1,30,Calvin,20911.093009847118
16,1,40,2pl,3477.3524509161603
16,1,40,Calvin,20983.881663580247
16,1,50,2pl,134682.559507629
16,1,50,Calvin,13098.238010185183
16,1,60,2pl,9010.379711618041
16,1,60,Calvin,22366.228891467075
16,1,70,2pl,245908.47199926537
